id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
373-767454863;$26,480;;;Fair Price;4.4;1887;4.9;84 reviews;31;18;AWD;3.6L V6 24V MPFI DOHC;Bright White Clearcoat;Gasoline;27;Black;11,859;R28242;8-Speed Automatic;2C3CCAKGXJH304572
7-765336477;$52,745;$52,745;;;4.8;766;4.8;20 reviews;4;18;4WD;5.0L V8 32V PDI DOHC;Ingot Silver;Gasoline;23;Medium Earth Gray;11;T9269;Automatic;1FTEW1E56KFB10422
19-762447035;$43,815;$47,065;;;4.6;104;4.8;25 reviews;16;17;4WD;3.5L V6 24V MPFI DOHC;Ingot Silver Metallic;Gasoline;24;Ebony Black;3;19265;6-Speed Automatic;1FM5K8D80KGA94675
180-753072290;$45,980;$45,980;;;-1;-1;4.7;34 reviews;5;22;Intelligent All-Whee;Twin-Scroll 2.0-Liter EcoBoost Engine;White Platinum;Gasoline;29;Ebony;0;4435;8-Speed Automatic Transmission;2FMPK4K98KBB07905
198-755955315;$35,330;$42,325;;;3.1;144;4.8;65 reviews;5;;4x4;Regular Unleaded V-6 3.6 L/220;Diamond Black Crystal Pearlcoat;Gasoline;;Black;0;1903327;8-Speed Automatic w/OD;1C4RJFAG2KC565516
328-744831124;$8,501;;;Good Deal;4.6;663;4.4;277 reviews;29;28;Front Wheel Drive;Gas I4;Blue Sky Metallic;Gasoline;38;Gray;77,842;4349A;6-Speed Manual;KMHDH6AE3DU004562
217-763394485;$52,035;$55,280;;;4.8;1418;4.8;25 reviews;4;16;4WD;3.5L V6 24V GDI DOHC Twin Turbo;Agate Black Metallic;Gasoline;22;Ebony Black;53;195612;6-Speed Automatic;1FM5K8HT4KGA81751
323-758297742;$369,725;;;;3;5;;;11;12;RWD;6.6L V12 48V GDI DOHC Twin Turbo;Arctic White;Gasoline;18;Arctic White;25;KUX87272;8-Speed Automatic;SCA665C59KUX87272
209-748630489;$24,008;$25,880;;;5;2307;4.9;116 reviews;7;20;FWD;1.5L I4 16V GDI DOHC Turbo;Shadow Black;Gasoline;29;Ebony;9;FU83050;6-Speed Automatic;3FA6P0HD7JR283050
201-751692964;$38,349;;;;4.6;2482;5;12 reviews;3;20;AWD;2.5 L;Snowflake White Pearl Mica;Gasoline;26;Black;10;190321;Automatic;JM3TCBCYXK0304318
431-767109641;$17,100;;$18900;Fair Price;4.8;1521;4.5;86 reviews;29;23;AWD;Regular Unleaded I-4 2.0 L/122;Dazzling White;Gasoline;31;Gray;31,912;HY6833;6-Speed Automatic w/OD;KM8J3CA44GU107937
255-761544849;$57,962;;;;4.8;635;5;4 reviews;14;13;AWD;5.6L V8 32V GDI DOHC;Black;Gasoline;18;Almond;10;K9757422;7-Speed Automatic;JN8AY2NE6K9757422
418-766046157;$15,499;;;Good Deal;4.7;83;4.6;91 reviews;30;21;AWD;2.0L I4 16V GDI DOHC Turbo;Black Diamond Tri-Coat;Gasoline;31;Jet Black;56,873;11315T;6-Speed Automatic;1G6AG5RXXE0126602
59-760965833;$26,051;$31,445;;;4.2;230;4.8;5 reviews;26;29;FWD;1.5L I4 16V GDI DOHC Turbo;Black Metallic;Gasoline;36;Gray;20;7912L19;Automatic CVT;1G1ZD5ST4KF129903
215-758099158;$20,455;$20,455;;;4.6;124;4.8;97 reviews;10;24;FWD;Regular Unleaded I-4 1.6 L/97;Inferno Red;Gasoline;30;Gray 2-Tone;3;B4787;6-Speed Automatic w/OD;KNDJN2A22K7655837
326-767168288;$32,282;$32,782;;;4.8;697;4.5;62 reviews;4;26;AWD;2.5L I4 16V PDI DOHC;Ruby Flare Pearl;Gasoline;35;Black;1;T1235;8-Speed Automatic;JTMP1RFV4KD015874
