id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;mileage;n_photos
767096643.html;21995;;;Good Deal;4.8;1086;4.7;80 reviews;40,058;41
741238613.html;37575;46075;;;4.8;1125;4.8;211 reviews;;32
766958937.html;27981;;;Good Deal;4.7;308;4.7;37 reviews;29,488;49
763984224.html;44965;48715;;;4.9;589;4.8;20 reviews;;17
755982151.html;70435;;;;-1;-1;4.4;25 reviews;;32
762889728.html;16266;;;Good Deal;4.8;416;4.7;67 reviews;76,132;30
761557711.html;61560;61560;;;4.7;24;4.3;30 reviews;;20
764333598.html;29553;32990;;;4.8;39;4.8;20 reviews;5;25
758620331.html;71970;71970;;;4.9;475;5;7 reviews;5;17
749572483.html;43515;;;;4.6;409;4.7;82 reviews;10;10
742822873.html;30815;35080;;;4.6;101;4.7;168 reviews;;8
767123147.html;7750;;;Good Deal;5;52;4.6;34 reviews;117,134;18
766729841.html;41050;44050;;;4.9;482;4.7;19 reviews;7;21
766660891.html;18500;;;Good Deal;4.9;538;4.8;233 reviews;12,136;24
764500880.html;24958;26992;;;4.9;538;4.7;80 reviews;2;20
761084918.html;17694;;;Good Deal;4.9;475;4.7;45 reviews;7,953;19
758490771.html;39800;;;Good Deal;5;25;3.6;30 reviews;1,051;25
759271146.html;22995;;23495;Good Deal;4.8;1086;4.6;21 reviews;35,432;43
765969112.html;14990;;;Great Deal;4.8;424;4.7;195 reviews;37,377;27
766677791.html;22995;;;Good Deal;4.8;1086;4.8;14 reviews;25,990;43
765078478.html;21995;;22495;Good Deal;4.8;1086;4.6;21 reviews;30,368;39
741086974.html;34007;37150;;;5;169;5;32 reviews;8;20
765794633.html;18494;;;Great Deal;4.8;1086;4.7;81 reviews;25,241;39
748849151.html;35118;37015;;;4;307;4.6;41 reviews;10;21
764391675.html;47750;;;;-1;-1;3.6;30 reviews;8;12
765621812.html;22978;;;Good Deal;4.8;1125;4.9;84 reviews;17,796;40
763590842.html;24850;;;Good Deal;5;99;4.7;202 reviews;86,365;30
754173859.html;22235;22235;;;4.8;236;4.9;459 reviews;;17
759933654.html;39658;48475;;;5;62;4.3;30 reviews;1;17
763346331.html;33995;;34995;Good Deal;4.8;1086;4.1;74 reviews;36,006;41
763226841.html;26695;;;Great Deal;4.8;1086;4.8;66 reviews;17,137;42
763639572.html;24588;;;Good Deal;4.6;262;4.6;217 reviews;66,820;38
760988683.html;22489;;;Good Deal;4.7;176;4.8;99 reviews;19,327;31
765373792.html;40755;;;;4.6;409;4.6;67 reviews;175;17
763568392.html;35195;35195;;;5;932;4.4;69 reviews;11;13
760070040.html;23635;25060;;;5;169;4.6;42 reviews;12;20
766156171.html;48045;51045;;;4.9;482;4.7;19 reviews;7;24
751401749.html;29130;32880;;;4.8;1125;4.8;17 reviews;;32
756590649.html;20933;;;Good Deal;4.8;416;4.8;220 reviews;20,369;35
759430158.html;49295;56115;;;5;19;;;7;32
764456534.html;23994;;24494;Great Deal;4.8;1086;4.8;32 reviews;47,962;43
758214607.html;20995;;21495;Good Deal;4.8;1086;4.7;80 reviews;19,647;40
766169692.html;18981;;;Good Deal;4.8;1057;4.6;68 reviews;37,586;43
765408327.html;20495;;20995;Good Deal;4.8;1086;4.6;21 reviews;52,032;41
759846766.html;63330;63330;;;4.5;761;4.8;25 reviews;;32
749809658.html;32948;40375;;;4.8;39;4.8;181 reviews;5;21
756006259.html;64972;66810;;;4.5;63;5;2 reviews;10;32
761619266.html;13999;;14999;Great Deal;4.9;287;4.8;233 reviews;26,466;21
724554175.html;32860;32860;;;4.9;701;4.9;535 reviews;2;20
760376521.html;55867;;;;4.8;1057;4.8;20 reviews;5;32
765300492.html;27495;;27995;Good Deal;4.8;1086;4.6;158 reviews;36,724;39
757221568.html;97720;;;;4.8;1057;5;2 reviews;4;32
764650030.html;14840;;;Great Deal;4.7;359;4.9;140 reviews;16,947;49
750722981.html;36999;;;Good Deal;5;25;4.8;248 reviews;30,101;21
756916023.html;15988;;16488;Great Deal;4.7;359;4.9;468 reviews;12,795;52
760649585.html;49191;51190;;;4.5;63;4.5;2 reviews;21;32
756325524.html;38819;41955;;;4.9;538;4.5;14 reviews;1;12
763701793.html;13195;;;Good Deal;-1;-1;4.5;130 reviews;90,786;32
754216162.html;17590;;;Good Deal;4.9;1370;4.7;235 reviews;23,055;42
765735661.html;53313;57015;;;5;119;4.8;22 reviews;;24
765662181.html;25395;25395;;;4.9;701;4.4;69 reviews;2;18
758215012.html;14495;;14995;Great Deal;4.8;1086;4.8;233 reviews;33,377;40
755078226.html;43515;43515;;;5;932;4.7;82 reviews;11;11
765547001.html;39146;42167;;;4.9;538;4.4;87 reviews;;20
763576987.html;21420;;;Good Deal;4.8;39;4.7;639 reviews;32,308;24
754137162.html;21560;25810;;;4.8;1125;4.7;203 reviews;;32
764830064.html;19495;;;Good Deal;4.8;1086;4.6;15 reviews;66,298;41
766544989.html;33562;;;Good Deal;4;4;4.7;272 reviews;83,021;37
767380096.html;17734;;;Good Deal;5;15;4.6;258 reviews;77,806;29
761619069.html;16999;;;Great Deal;4.9;287;4.7;91 reviews;102,620;27
762101168.html;27600;;;Good Deal;4.9;538;4.8;120 reviews;47,748;22
753738930.html;40978;;;Good Deal;4.9;482;4.9;128 reviews;17,220;28
765735707.html;47714;51190;;;5;119;4.8;22 reviews;;24
762208444.html;24990;;25990;Good Deal;4.9;1370;4.7;101 reviews;28,684;47
762036632.html;29469;30795;;;4.8;236;4.4;69 reviews;;18
763615593.html;23994;;24994;Good Deal;4.8;1086;4.8;14 reviews;23,054;40
766349570.html;28500;;;Good Deal;4.9;538;4.7;113 reviews;53,034;22
765163060.html;39645;41895;;;4.8;1125;4.8;21 reviews;;32
764834925.html;70281;72280;;;4.5;63;4.8;6 reviews;40;32
760985855.html;24364;25345;;;4.8;236;4.4;69 reviews;;16
761931083.html;55595;67340;;;4.4;26;4.5;23 reviews;346;21
752732961.html;13952;21120;;;-1;-1;4.7;139 reviews;19;14
753877164.html;45986;55030;;;5;99;5;7 reviews;2;27
766359959.html;17990;;;Good Deal;4.9;287;4.8;218 reviews;42,229;22
759366595.html;26350;26785;;;4.9;482;4.7;42 reviews;1;23
759532531.html;39749;45980;;;4;4;4.7;34 reviews;5;32
762580054.html;21562;22870;;;4.8;237;4.9;55 reviews;8;21
756764254.html;21049;25100;;;-1;-1;4.9;37 reviews;58;25
759055239.html;25195;;;;4.6;409;5;15 reviews;77;17
750717853.html;24910;28910;;;4.6;262;4.9;316 reviews;13;14
760136455.html;33995;;34995;Great Deal;4.8;1086;4.8;39 reviews;20,678;47
765902007.html;16991;;;Good Deal;5;99;4.3;10 reviews;54,358;24
